track_id,track_popularity_sum,track_popularity_avg,track_popularity_min,track_popularity_max,track_popularity_count,artist_followers_sum,artist_followers_avg,artist_followers_min,artist_followers_max,artist_followers_count
18uOcUO5mNEYHHigeXPgQM,56,56.0,56,56,1,460982,460982.0,460982,460982,1
61a0LXQA7wJ64CGzttDaN9,0,0.0,0,0,1,575297,575297.0,575297,575297,1
65gLJGey4u4KFFqoC5fzFJ,71,71.0,71,71,1,3183814,3183814.0,3183814,3183814,1
6M6Tk58pQvABy6ru66dY3d,68,68.0,68,68,1,3469806,3469806.0,3469806,3469806,1
75ihvbHyiKOAXZBZUXcugj,0,0.0,0,0,1,4779199,4779199.0,4779199,4779199,1
3gtZaK2AeKJriGVtfW6L4h,11,11.0,11,11,1,64354,64354.0,64354,64354,1
4ZFuj9jNw6ghSvIQyJUmlZ,31,31.0,31,31,1,101837,101837.0,101837,101837,1
6D2tzc8kRnZb7P1lNwMBLH,56,56.0,56,56,1,69030894,6.9030894E7,69030894,69030894,1
4Tp4gRuDo1sIMP6gH9LwuH,57,57.0,57,57,1,21598900,2.15989E7,21598900,21598900,1
4YMdxmmLb5vziSYpZ5EmoL,47,47.0,47,47,1,18370,18370.0,18370,18370,1
35PKfoynRpVFoAUE3D5Kc6,74,74.0,74,74,1,9114093,9114093.0,9114093,9114093,1
1CuzzAbJ4q28V5JOLCzQVp,0,0.0,0,0,1,1067391,1067391.0,1067391,1067391,1
0142jVxzJD3y7W3uRJoYJz,42,42.0,42,42,1,1230155,1230155.0,1230155,1230155,1
5hnyJvgoWiQUYZttV4wXy6,83,83.0,83,83,1,3301184,3301184.0,3301184,3301184,1
5dNfHmqgr128gMY2tc5CeJ,68,68.0,68,68,1,2485646,2485646.0,2485646,2485646,1
5V3mdRI2yQxbSsJGDPc5lD,5,5.0,5,5,1,13976718,1.3976718E7,13976718,13976718,1
1W5XugQJGhnSATMI5n002M,63,63.0,63,63,1,13822540,1.382254E7,13822540,13822540,1
4anqYZt4APNlFwQixpbdZR,65,65.0,65,65,1,2358187,2358187.0,2358187,2358187,1
3vZO25GdYuqFrR1kzZADnp,72,72.0,72,72,1,1660600,1660600.0,1660600,1660600,1
2Wtm3yc0paBifvBSjOhO3b,55,55.0,55,55,1,23391272,2.3391272E7,23391272,23391272,1
2I8X1dNALNQhyDjVI1Nwjo,34,34.0,34,34,1,23391272,2.3391272E7,23391272,23391272,1
57bgtoPSgt236HzfBOd8kj,85,85.0,85,85,1,32304988,3.2304988E7,32304988,32304988,1
0i19MAZbyn8uTir7FprXId,58,58.0,58,58,1,2127342,2127342.0,2127342,2127342,1
3GYulbp28vjI5wpIbHCZZc,53,53.0,53,53,1,7429055,7429055.0,7429055,7429055,1
1yAQDfgkfSBC6URkqCdnWX,12,12.0,12,12,1,33,33.0,33,33,1
419xETfTSNavdLazzGukKM,23,23.0,23,23,1,1987,1987.0,1987,1987,1
3x75aqPUfrKUDPUdTzC65Q,0,0.0,0,0,1,5109,5109.0,5109,5109,1
1VNWdmXSbaNrnWod10WIL0,62,62.0,62,62,1,112957721,1.12957721E8,112957721,112957721,1
1lb0KfG9EyfSBsEifTUtXY,75,75.0,75,75,1,136639,136639.0,136639,136639,1
3ZKDfVjmrkkcO3YFCRKdtU,25,25.0,25,25,1,26272346,2.6272346E7,26272346,26272346,1
6kajsvd2uhLyAcaz9ai1e4,23,23.0,23,23,1,11036,11036.0,11036,11036,1
0WLWoJc7VqyICKdVrR6jCd,53,53.0,53,53,1,73397,73397.0,73397,73397,1
2mnXxnrX5vCGolNkaFvVeM,69,69.0,69,69,1,17833538,1.7833538E7,17833538,17833538,1
0314PeD1sQNonfVWix3B2K,64,64.0,64,64,1,41172203,4.1172203E7,41172203,41172203,1
2C0c1BuoguwjFFbgq5xAnT,0,0.0,0,0,1,2177447,2177447.0,2177447,2177447,1
6HJizCbaqaEQG1eLjn341Z,55,55.0,55,55,1,4153847,4153847.0,4153847,4153847,1
2ex32ejeIdqj8jGoZgRldy,0,0.0,0,0,1,70,70.0,70,70,1
5cBvwieT5RLB9Ro2OOjBoI,42,42.0,42,42,1,531,531.0,531,531,1
3EPgWM1zfTSzEc0z4AwWTM,57,57.0,57,57,1,145396321,1.45396321E8,145396321,145396321,1
6U1iuA5QfzYRPJxvdcxqtf,61,61.0,61,61,1,2069532,2069532.0,2069532,2069532,1
1bhtZtnt0HybEeZQIUB8Vk,21,21.0,21,21,1,35136,35136.0,35136,35136,1
4pIKFpwflOdhYNIRmPTj3E,64,64.0,64,64,1,3771062,3771062.0,3771062,3771062,1
74cVJfmK18rhWnscIpGXjt,71,71.0,71,71,1,25957976,2.5957976E7,25957976,25957976,1
3sTN90bIP2cJ1783ctHykO,71,71.0,71,71,1,701462,701462.0,701462,701462,1
6HZILIRieu8S0iqY8kIKhj,77,77.0,77,77,1,44577310,4.457731E7,44577310,44577310,1
4VqEUmMjhbj6w7g5EVKILE,73,73.0,73,73,1,15689879,1.5689879E7,15689879,15689879,1
5ZKG94fnjiuMH5yrC5S9lS,61,61.0,61,61,1,103039388,1.03039388E8,103039388,103039388,1
05TOt5Vz4StdjMpEdFPlvB,69,69.0,69,69,1,66734917,6.6734917E7,66734917,66734917,1
2dBwB667LHQkLhdYlwLUZK,65,65.0,65,65,1,51773650,5.177365E7,51773650,51773650,1
5lF0pHbsJ0QqyIrLweHJPW,75,75.0,75,75,1,13211271,1.3211271E7,13211271,13211271,1
59RSrxkSKSixEWBAIvE5Wa,57,57.0,57,57,1,34293318,3.4293318E7,34293318,34293318,1
5ED4G6aSQkmNTSu4a39AoS,45,45.0,45,45,1,55520,55520.0,55520,55520,1
2I8U4alHqlxAZN8Wpc9jf6,28,28.0,28,28,1,6271129,6271129.0,6271129,6271129,1
2vPCRs3g0vdLU8sHlAEytO,60,60.0,60,60,1,17755451,1.7755451E7,17755451,17755451,1
